baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20190305,1630,LGT,20190305,1700,0,89,91
20190305,1630,LGT,20190305,1800,0,89,91
20190305,1630,PTY,20190305,1700,0,89,91
20190305,1630,PTY,20190305,1800,0,89,91
20190305,1630,RN1,20190305,1700,0,89,91
20190305,1630,RN1,20190305,1800,0,89,91
20190305,1630,SKY,20190305,1700,3,89,91
20190305,1630,SKY,20190305,1800,3,89,91
20190305,1630,T1H,20190305,1700,16,89,91
20190305,1630,T1H,20190305,1800,16,89,91
20190305,1630,REH,20190305,1700,20,89,91
20190305,1630,REH,20190305,1800,15,89,91
20190305,1630,UUU,20190305,1700,1.8,89,91
20190305,1630,UUU,20190305,1800,1.4,89,91
20190305,1630,VVV,20190305,1700,0,89,91
20190305,1630,VVV,20190305,1800,-0.6,89,91
20190305,1630,VEC,20190305,1700,273,89,91
20190305,1630,VEC,20190305,1800,297,89,91
20190305,1630,WSD,20190305,1700,1.8,89,91
20190305,1630,WSD,20190305,1800,1.6,89,91
