stationName, dataTime, khaiGrade
수창동,2019-03-28 12:00,3
지산동,2019-03-28 12:00,2
서호동,2019-03-28 12:00,2
이현동,2019-03-28 12:00,3
평리동,2019-03-28 12:00,3
대명동,2019-03-28 12:00,3
노원동,2019-03-28 12:00,3
신암동,2019-03-28 12:00,2
태전동,2019-03-28 12:00,3
만촌동,2019-03-28 12:00,3
